id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval185_productCatalogFailure_on,eval185_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,138,138,4,0,50,12044,78794,0.15285427824453637,2,8,0,2,1,2,0.3
eval186_productCatalogFailure_on,eval186_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,57,57,0,0,9,16261,138610,0.11731476805425294,2639,8,820,2,49,2,0.3041653993108362
eval187_productCatalogFailure_on,eval187_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,140,140,0,0,60,14570,58895,0.24738942185244928,2639,8,820,2,0,2,0.2874988020883247
eval188_productCatalogFailure_on,eval188_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,162,162,4,0,44,11662,48752,0.23921069904824419,2,8,0,2,1,2,0.3249986458389757
eval189_productCatalogFailure_on,eval189_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,73,73,0,0,30,13378,48661,0.2749224224738497,2640,8,0,2,0,2,0.32083199653334776
eval18_adManualGc_on,eval18_adManualGc_on,adManualGc,on,adManualGc,False,False,159,159,8,0,61,11237,73283,0.15333706316608217,4,8,0,2,2,2,0.2875
eval18_baseline,eval18_baseline,baseline,off,none,True,False,1783,1783,12,0,53,11042,68320,0.16162177985948478,5,6,0,1,0,2,0.35832736121064646
eval190_productCatalogFailure_on,eval190_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,183,183,8,0,64,11702,48987,0.23887970277828813,4,8,820,2,2,2,0.32083199653334776
eval191_productCatalogFailure_on,eval191_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,120,120,0,0,35,12036,73067,0.1647255258871994,2,8,0,2,1,2,0.3625
eval192_productCatalogFailure_on,eval192_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,64,64,0,0,25,15046,116899,0.1287093987117084,2640,8,0,2,48,2,0.37916666666666665
eval193_recommendationCacheFailure_on,eval193_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,210,210,0,0,61,14540,68714,0.21160171144162762,2640,8,0,2,0,2,0.2916666666666667
eval194_recommendationCacheFailure_on,eval194_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,83,83,0,0,37,12034,71528,0.1682418074040935,2,8,0,2,1,2,0.287501197921658
eval195_recommendationCacheFailure_on,eval195_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,52,52,0,0,24,13058,90614,0.14410576732072305,2,8,820,2,1,2,0.26666666666666666
eval196_recommendationCacheFailure_on,eval196_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,76,76,0,0,27,16072,118593,0.13552233268405386,2640,8,820,2,49,2,0.27083220486581305
eval197_recommendationCacheFailure_on,eval197_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,140,140,4,0,54,12652,88838,0.14241653346540895,2,8,0,2,1,2,0.2749977083524304
eval198_recommendationCacheFailure_on,eval198_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,136,136,4,0,44,11042,60563,0.18232254016478708,2,8,0,2,1,2,0.31249609379882753
eval199_recommendationCacheFailure_on,eval199_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,289,289,0,0,67,14360,45196,0.3177272324984512,2640,8,0,2,0,2,0.3499970833576388
eval19_adManualGc_on,eval19_adManualGc_on,adManualGc,on,adManualGc,False,False,136,136,0,0,62,13376,47058,0.28424497428705003,2639,8,0,2,0,2,0.2875
eval19_baseline,eval19_baseline,baseline,off,none,True,False,2225,2225,8,0,61,11038,60238,0.18323981539891762,6,6,4,1,0,2,0.34166381946817115
eval200_recommendationCacheFailure_on,eval200_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,70,70,0,0,25,15060,107072,0.14065301852958756,2640,8,0,2,52,2,0.33749859375585933
eval20_adManualGc_on,eval20_adManualGc_on,adManualGc,on,adManualGc,False,False,88,88,0,0,34,13756,78635,0.17493482545940103,2639,8,0,2,0,2,0.3
eval20_baseline,eval20_baseline,baseline,off,none,True,False,3627,3627,4,0,35,12088,79833,0.15141608106923202,1,6,4,1,0,2,0.3458347743115596
